<Phenotype>							
taxa	factor	data	data	data	covariate	covariate	covariate
NC292	A	55.5	65.5	42.8125	0.999	0.001	1.10E-16
NC294	A	74	66.5	38.888	0.998	0.001	0.001
NC296	A	68.5	67	38.83125	0.002	0.001	0.997
NC296A	A	59.5	68.5	38.211	0.002	0.001	0.997
NC298	A	62	72.5	29.191	0.001	0.001	0.998
NC300	A	68	70	42.694	0.002	0.003	0.995
NC302	A	53	67.5	36.349	0.002	0.003	0.995
NC304	A	8	65	NaN	0.001	0.002	0.997
NC306	A	62.88	68	34.54667	0.998	0.001	0.001
NC308	A	59.63	66	39.408	0.998	0.001	0.001
NC310	A	60.5	65	41.4595	0.999	0.001	1.10E-16
NC312	A	67.5	69.5	38.0875	0.998	0.001	0.001
NC314	A	58	66	36.278	0.998	0.001	0.001
NC318	A	72	72	31.811	0.002	0.032	0.966
NC320	A	83	71.5	41.711	0.004	0.005	0.991
NC322	A	77.5	71.5	33.15975	0.996	0.001	0.003
NC324	A	56.5	68	33.9025	0.999	0.001	1.10E-16
NC326	A	88	67	41.2355	0.998	0.001	0.001
NC328	A	60	66	37.45	0.998	0.001	0.001
NC33	A	101	72	36.104	0.129	0.862	0.009
NC330	A	70	70	42.79525	0.999	0.001	1.10E-16
NC332	A	76.5	71	34.923	0.013	0.017	0.97
NC334	A	80.5	70.5	33.938	0.002	0.022	0.976
NC336	A	50.5	75.5	34.172	0.002	0.001	0.997
NC338	A	71.5	70	33.97	0.002	0.003	0.995
NC340	A	60.5	65.5	38.974	0.009	0.004	0.987
NC342	A	68	64.5	35.18633	0.005	0.994	0.001
NC344	A	63.5	70.5	38.60725	0.002	0.997	0.001
NC346	A	62	68	36.276	0.002	0.001	0.997
NC348	A	73	67	31.202	0.001	0.001	0.998
NC350	A	49.5	69.5	32.829	0.003	0.002	0.995
NC352	A	53.5	72	35.537	0.003	0.001	0.996
NC354	A	67	71.5	32.8105	0.01	0.001	0.989
NC356	A	56	66.5	34.34075	0.001	0.031	0.968
NC358	A	41	63	35.785	0.001	0.143	0.856
NC360	A	56	71.5	37.205	0.001	0.475	0.524
NC362	A	51.5	63	38.849	0.002	0.54	0.458
NC364	A	48.5	64.5	38.6825	0.002	0.507	0.491
NC366	A	58	72.5	35.826	0.018	0.467	0.515
NC368	A	64.5	69	42.06567	0.996	0.003	0.001
NC370	A	70.63	72.5	42.082	0.003	0.003	0.994
NC372	A	69	68	42.281	0.998	0.001	0.001
ND246	A	32.5	54.5	28.935	0.004	0.76	0.236
OH40B	A	51.5	67.5	34.962	0.002	0.996	0.002
OH43	A	45	61	37.77	0.001	0.998	0.001
OH43E	A	31.5	61	37.124	0.002	0.997	0.001
OH603	A	48.5	65.5	NaN	0.002	0.669	0.329
OH7B	A	87	72.5	37.535	0.031	0.967	0.002
OS420	A	66	60.5	39.417	0.016	0.983	0.001
PA762	A	50.5	67	37.828	0.001	0.998	0.001
PA875	A	67	65.5	40.87967	0.002	0.979	0.019
PA880	A	69.5	64.5	NaN	0.002	0.993	0.005
PA91	A	63	68.5	36.12175	0.001	0.997	0.002
Q6199	A	NaN	85	NaN	0.003	0.007	0.99
R109B	A	45	65	NaN	0.113	0.855	0.032
R168	A	57.92	64.5	28.88775	0.002	0.996	0.002
R177	A	31	61	38.019	0.122	0.875	0.003
R229	A	76	67	43.504	0.991	0.002	0.007
R4	A	48	67	37.284	0.019	0.979	0.002
SC213R	A	67	76	34.337	0.002	0.579	0.419
SC357	A	55.5	74.5	34.858	0.003	0.622	0.375
SC55	A	128	75	41.88	0.046	0.626	0.328
SD40	A	46.5	60	38.5555	0.417	0.581	0.002
SD44	A	39	61.5	36.73775	0.006	0.993	0.001
T232	A	73.5	70	35.651	0.14	0.459	0.401
T234	A	63.08	68.5	39.432	0.003	0.985	0.012
T8	A	87.75	70.5	35.29	0.003	0.989	0.008
TX303	A	102	71	41.5	0.065	0.36	0.575
TX601	A	87.63	78.5	42.91188	0.003	0.004	0.993
TZI10	A	81	78	33.84983	0.003	0.005	0.992
TZI11	A	75.5	71.5	32.988	0.002	0.184	0.814
TZI16	A	76.75	74	41.737	0.248	0.351	0.401
TZI18	A	79.38	70	39.82575	0.002	0.003	0.995
TZI25	A	82	72.5	38.817	0.305	0.086	0.609
TZI8	A	89.5	72.5	41.56075	0.041	0.005	0.954
TZI9	A	79	72	40.403	0.008	0.011	0.981
U267Y	A	53.5	75.5	35.491	0.002	0.595	0.403
VA102	A	47.5	65	NaN	0.001	0.994	0.005
VA14	A	56	66.5	36.955	0.002	0.995	0.003
VA17	A	49	63.5	34.376	0.002	0.997	0.001
VA22	A	62.5	66	36.168	0.001	0.995	0.004
VA26	A	41	61	37.617	0.005	0.983	0.012
VA35	A	52	63	40.0005	0.002	0.996	0.002
VA59	A	36.5	60.5	37.58	0.003	0.994	0.003
VA85	A	66	62.5	37.304	0.014	0.983	0.003
VA99	A	56	67.5	40.421	0.158	0.84	0.002
VAW6	A	38	62.5	35.685	0.02	0.724	0.256
W117HT	A	31	66	23.72333	0.159	0.617	0.224
W153R	A	27.5	66	NaN	0.145	0.853	0.002
W182B	A	46	62.5	31.492	0.153	0.845	0.002
W22	A	44	63.5	36.041	0.063	0.931	0.006
W401	A	35.5	58.5	35.40125	0.005	0.993	0.002
W64A	A	59.5	62.5	35.982	0.001	0.998	0.001
WD	A	48.5	62.5	30.479	0.014	0.97	0.016
WF9	A	52	64.5	36.61475	0.005	0.994	0.001
YU796NS	A	56.5	64	40.755	0.189	0.785	0.026
33-16	B	68.8	61.6	35	0.014	0.972	0.014
38-11	B	90.1	69	35.5	0.003	0.993	0.004
4226	B	67.3	63.5	34.7	0.071	0.917	0.012
4722	B	76.3	71	29.3	0.035	0.854	0.111
A188	B	29.6	60.9	31.2	0.013	0.982	0.005
A214N	B	67.1	71.4	27.4	0.762	0.017	0.221
A239	B	47.7	61.5	35.5	0.035	0.963	0.002
A272	B	35.5	66.9	33.2	0.019	0.122	0.859
A441-5	B	48.8	67.4	33.9	0.005	0.531	0.464
A554	B	37	62.9	33.3	0.019	0.979	0.002
A556	B	31.4	60.3	27.9	0.004	0.994	0.002
A6	B	111.5	83.8	36	0.003	0.03	0.967
A619	B	38.6	62.2	40.1	0.009	0.99	0.001
A632	B	NaN	57.6	39.2	0.993	0.004	0.003
A634	B	55.4	60.6	32.2	0.897	0.1	0.003
A635	B	34.2	68.2	32.2	0.825	0.171	0.004
A641	B	58.8	69.7	34.9	0.517	0.481	0.002
A654	B	35.5	60.7	35	0.083	0.915	0.002
A659	B	43.2	60.5	39.1	0.006	0.991	0.003
A679	B	60.9	67.4	41.4	0.862	0.127	0.011
A680	B	72.5	64.4	42.3	0.993	0.004	0.003
A682	B	42.5	56.3	39.1	0.002	0.997	0.001
AB28A	B	70.5	83	36.2	0.002	0.776	0.222
B10	B	69.6	66	38.8	0.429	0.57	0.001
B103	B	39.3	60.1	35	0.163	0.829	0.008
B104	B	54.1	66.1	49.3	0.694	0.305	0.001
B105	B	71.9	70.2	40.2	0.397	0.566	0.037
B109	B	69.5	NaN	37.9	0.995	0.003	0.002
B115	B	63.2	68.3	32.6	0.061	0.847	0.092
B14A	B	58.3	62.4	42.2	0.998	0.001	0.001
B164	B	63.5	55.8	36.8	0.233	0.756	0.011
B2	B	40.1	66	37	0.007	0.988	0.005
B37	B	68.6	61.7	32.6	0.997	0.002	0.001
B46	B	40.1	66.3	42.3	0.214	0.784	0.002
B52	B	71.6	68	37	0.012	0.985	0.003
B64	B	76.4	72.8	40.4	0.988	0.002	0.01
B68	B	66.6	72.9	39.8	0.998	0.001	0.001
B73	B	78.7	67.2	46.2	0.999	0.001	1.1E-16
B73HTRHM	B	73.3	63.2	42.3	0.999	0.001	1.1E-16
B75	B	59.9	59.5	NaN	0.005	0.993	0.002
B76	B	56.4	61.5	34.1	0.912	0.087	0.001
B77	B	46.2	68.3	41	0.083	0.915	0.002
B79	B	65.9	69.9	44.1	0.305	0.693	0.002
B84	B	70.1	70.8	33.2	0.996	0.003	0.001
B97	B	49.4	62.3	42.1	0.016	0.981	0.003
C103	B	51	70.4	33	0.002	0.997	0.001
C123	B	31.2	62.6	33.2	0.047	0.952	0.001
C49	B	25.5	59.7	30.1	0.143	0.841	0.016
C49A	B	19.4	55.2	32.6	0.127	0.869	0.004
CH701-30	B	58.9	57.8	34.2	0.004	0.993	0.003
CH9	B	39.3	63	34.1	0.003	0.992	0.005
CI187-2	B	62.8	72.7	29.1	0.006	0.992	0.002
CI21E	B	64.5	71.1	41.8	0.119	0.866	0.015
CI28A	B	77.4	65.9	40.9	0.004	0.749	0.247
CI31A	B	70.5	76.1	NaN	0.002	0.994	0.004
CI3A	B	62.7	69.2	40.4	0.083	0.905	0.012
CI44	B	56.2	72.8	39.9	0.011	0.988	0.001
CI64	B	62.1	68.2	41.7	0.012	0.986	0.002
CI66	B	48.5	75.9	33.1	0.011	0.935	0.054
CI7	B	80.7	67.9	36.6	0.004	0.994	0.002
CI90C	B	65.3	65.9	31	0.003	0.737	0.26
CI91B	B	52.8	70.9	31.9	0.002	0.997	0.001
CM105	B	31.3	65.4	34.1	0.995	0.004	0.001
CM174	B	32.1	67.4	33.8	0.997	0.002	0.001
CM37	B	22.7	59.5	24.3	0.013	0.969	0.018
CM7	B	27.6	63	27.3	0.059	0.939	0.002
CML103	B	84.3	69.9	37.9	0.003	0.005	0.992
CML108	B	51.3	66.8	44.3	0.002	0.099	0.899
CML11	B	99.1	81.6	38.1	0.003	0.002	0.995
CML14	B	82.8	85.6	34.2	0.001	0.001	0.998
CML154Q	B	64.5	69.4	38	0.002	0.005	0.993
CML157Q	B	114	76.4	36.2	0.004	0.018	0.978
CML158Q	B	72.3	72.9	44.9	0.01	0.018	0.972
CML218	B	61.1	70.6	33.1	0.01	0.301	0.689
CML220	B	40.4	64.8	45.1	0.059	0.053	0.888
CML228	B	78.9	72.7	35.4	0.003	0.002	0.995
CML238	B	57.5	74.8	43.7	0.001	0.004	0.995
CML247	B	64.2	78.1	38.2	0.003	0.006	0.991
CML254	B	70.4	67.8	37	0.001	0.006	0.993
CML258	B	136.9	81.2	40.1	0.001	0.002	0.997
CML261	B	99.6	79.9	35.3	0.016	0.004	0.98
CML264	B	57.5	78.5	37	0.002	0.001	0.997
CML277	B	84.9	71	43.8	0.001	0.004	0.995
CML281	B	72.2	85.8	37	0.023	0.046	0.931
CML287	B	98.5	71	38.6	0.004	0.022	0.974
CML311	B	90.9	67.8	37	0.004	0.114	0.882
CML314	B	83	68.7	38.8	0.003	0.002	0.995
CML321	B	82.7	78.4	34.6	0.027	0.008	0.965
CML322	B	68.1	72.2	43.4	0.01	0.005	0.985
CML323	B	67.3	66.5	37.9	0.007	0.34	0.653
CML328	B	74.1	64.2	31.1	0.002	0.357	0.641
CML331	B	62.9	78.8	37	0.002	0.003	0.995
CML332	B	69.2	68.5	36.8	0.002	0.003	0.995
CML333	B	95.9	72.4	36.7	0.013	0.029	0.958
CML341	B	97.9	69.8	44.8	0.002	0.004	0.994
CML349	B	54.1	69	37	0.006	0.165	0.829
CML38	B	87.3	79	32.5	0.001	0.002	0.997
CML45	B	40.1	78.5	37	0.001	0.002	0.997
CML5	B	92.6	80.2	37	0.001	0.034	0.965
CML52	B	102.6	78.2	32.6	0.002	0.01	0.988
CML69	B	80.9	71.4	41.6	0.006	0.028	0.966
CML77	B	61	70.9	45.7	0.005	0.302	0.693
CML91	B	61.4	67.8	42.8	0.015	0.218	0.767
CML92	B	65.3	72.9	44.6	0.096	0.275	0.629
CMV3	B	35.8	55.5	37	0.147	0.847	0.006
CO106	B	31.2	52.6	37	0.016	0.973	0.011
CO109	B	21.6	63.5	37	0.013	0.928	0.059
CO125	B	32.3	64.7	28.4	0.021	0.967	0.012
CO255	B	33.7	59	29.8	0.009	0.647	0.344
DE1	B	66.3	73.1	41.3	0.018	0.98	0.002
DE2	B	53.1	63.4	45.7	0.02	0.979	0.001
DE3	B	72.2	66.2	40.4	0.24	0.734	0.026
DE811	B	77.3	74.5	31.8	0.779	0.218	0.003
E2558W	B	60.8	62.7	35.1	0.006	0.923	0.071
EP1	B	32.5	64.2	37	0.001	0.461	0.538
F2	B	35.4	63.4	30.5	0.002	0.534	0.464
F2834T	B	37.4	59.2	34.6	0.026	0.421	0.553
F44	B	89.1	73.3	35.8	0.01	0.62	0.37
F6	B	97.8	77.4	37	0.005	0.745	0.25
F7	B	28.2	59.8	26.2	0.07	0.608	0.322
GA209	B	77.9	70.6	33.8	0.004	0.979	0.017
GT112	B	138.8	82.6	37	0.008	0.839	0.153
H100	B	57.6	69.4	43.8	0.969	0.029	0.002
H105W	B	46	59.3	41	0.753	0.209	0.038
H49	B	59.8	62.2	43.1	0.002	0.995	0.003
H84	B	47.1	59.5	39.2	0.714	0.281	0.005
H91	B	63.9	64.8	34.7	0.997	0.002	0.001
H95	B	55.8	63.7	40.9	0.001	0.898	0.101
H99	B	32.8	68.9	36.5	0.001	0.997	0.002
HI27	B	94.8	67	34.5	0.207	0.019	0.774
HY	B	52.2	64.9	32.7	0.079	0.898	0.023
I137TN	B	60.4	73.4	37	0.002	0.539	0.459
I205	B	54.8	66	37	0.23	0.767	0.003
K148	B	39.3	70.1	36.6	0.087	0.886	0.027
K4	B	74.4	73.9	37.4	0.11	0.873	0.017
K55	B	46.7	70.5	44.6	0.01	0.98	0.01
K64	B	67.1	70	37.9	0.033	0.965	0.002
KI11	B	64.2	74.6	43.3	0.003	0.017	0.98
KI14	B	100.2	80	29.5	0.003	0.003	0.994
KI2007	B	56.6	63.8	38.3	0.001	0.018	0.981
KI2021	B	111	78.2	40.1	0.005	0.002	0.993
KI21	B	90.2	69.7	38.6	0.004	0.005	0.991
KI3	B	60.1	70.8	38.3	0.001	0.393	0.606
KI43	B	61.2	77.8	33.3	0.001	0.002	0.997
KI44	B	53.6	74.4	31.4	0.029	0.048	0.923
KY21	B	72.3	72.1	35	0.008	0.859	0.133
KY226	B	63.3	68.2	40.5	0.011	0.732	0.257
KY228	B	56.9	NaN	37	0.134	0.709	0.157
L317	B	93.2	66.4	33.8	0.001	0.99	0.009
L578	B	98.4	73.4	35.2	0.007	0.297	0.696
M14	B	32	56.3	35.4	0.012	0.849	0.139
M162W	B	60.8	74.5	36.1	0.002	0.996	0.002
M37W	B	59.6	65.4	43.1	0.012	0.404	0.584
MEF156-55-2	B	65.3	67.8	37	0.007	0.854	0.139
MO17	B	46.2	62.5	32.8	0.001	0.998	0.001
MO18W	B	69.3	73.7	35.5	0.011	0.307	0.682
MO1W	B	63.1	66.8	44	0.004	0.828	0.168
MO24W	B	104.8	66.9	42.3	0.108	0.727	0.165
MO44	B	49.1	53.3	35.7	0.002	0.996	0.002
MO45	B	71.9	68.1	35.7	0.252	0.516	0.232
MO46	B	51.3	60.9	39.7	0.152	0.838	0.01
MO47	B	32.6	61.2	34.9	0.18	0.624	0.196
MOG	B	90	69.1	40.7	0.002	0.996	0.002
MP339	B	73.8	69	35.2	0.102	0.641	0.257
MS1334	B	55.9	63.5	30.6	0.002	0.884	0.114
MS153	B	57.4	58.1	44.3	0.063	0.865	0.072
MS71	B	48.7	58.4	39.3	0.002	0.997	0.001
MT42	B	44.9	62.4	25.9	0.004	0.765	0.231
N192	B	42.8	57.5	40.5	0.998	0.001	0.001
N28HT	B	56.6	68.5	42.1	0.551	0.447	0.002
N6	B	48.6	59.9	42.8	0.017	0.98	0.003
N7A	B	52.2	65.3	40.8	0.494	0.503	0.003
NC222	B	88.6	73.1	35.1	0.004	0.874	0.122
NC230	B	59	73.2	46.8	0.004	0.994	0.002
NC232	B	50.1	64.4	41.2	0.068	0.839	0.093
NC236	B	56.9	77	35.7	0.023	0.974	0.003
NC238	B	45	78.5	37.1	0.004	0.989	0.007
NC250	B	40.5	61.1	40.8	0.941	0.057	0.002
NC258	B	NaN	71.6	35	0.001	0.997	0.002
NC260	B	52.8	61.5	40.4	0.005	0.992	0.003
NC262	B	25.1	57.4	41.9	0.007	0.991	0.002
NC264	B	44.6	61.3	36.3	0.015	0.018	0.967
NC268	B	72.6	65.4	37.6	0.998	0.001	0.001
NC290A	B	31.4	56.7	43.3	0.015	0.984	0.001
NC292	B	55.1	64.1	39.5	0.999	0.001	1.1E-16
NC294	B	71.5	65.3	40	0.998	0.001	0.001
NC296	B	68.3	62.4	35.6	0.002	0.001	0.997
NC296A	B	63.5	63.8	NaN	0.002	0.001	0.997
NC298	B	58.8	77.2	33.9	0.001	0.001	0.998
NC300	B	64.7	69.9	44.4	0.002	0.003	0.995
NC302	B	48.5	68.5	36.5	0.002	0.003	0.995
NC304	B	6.4	68	37	0.001	0.002	0.997
NC306	B	58.8	64.1	33.2	0.998	0.001	0.001
NC308	B	55.7	68.9	40.7	0.998	0.001	0.001
NC310	B	59.1	68.5	36.6	0.999	0.001	1.1E-16
NC312	B	64.4	66.2	39.5	0.998	0.001	0.001
NC314	B	54.3	64.5	40	0.998	0.001	0.001
NC318	B	77	69	32.3	0.002	0.032	0.966
NC320	B	86	74.1	45.6	0.004	0.005	0.991
NC322	B	76.2	NaN	37.7	0.996	0.001	0.003
