<Covariate>
<Trait>	Q1	Q2	Q3	
KY228	0.134	0.709	0.157
L317	0.001	0.99	0.009
L578	0.007	0.297	0.696
M14	0.012	0.849	0.139
M162W	0.002	0.996	0.002
M37W	0.012	0.404	0.584
MEF156-55-2	0.007	0.854	0.139
MO17	0.001	0.998	0.001
MO18W	0.011	0.307	0.682
MO1W	0.004	0.828	0.168
MO24W	0.108	0.727	0.165
MO44	0.002	0.996	0.002
MO45	0.252	0.516	0.232
MO46	0.152	0.838	0.01
MO47	0.18	0.624	0.196
MOG	0.002	0.996	0.002
MP339	0.102	0.641	0.257
MS1334	0.002	0.884	0.114
MS153	0.063	0.865	0.072
MS71	0.002	0.997	0.001
MT42	0.004	0.765	0.231
N192	0.998	0.001	0.001
N28HT	0.551	0.447	0.002
N6	0.017	0.98	0.003
N7A	0.494	0.503	0.003
NC222	0.004	0.874	0.122
NC230	0.004	0.994	0.002
NC232	0.068	0.839	0.093
NC236	0.023	0.974	0.003
NC238	0.004	0.989	0.007
NC250	0.941	0.057	0.002
NC258	0.001	0.997	0.002
NC260	0.005	0.992	0.003
NC262	0.007	0.991	0.002
NC264	0.015	0.018	0.967
NC268	0.998	0.001	0.001
NC290A	0.015	0.984	0.001
NC292	0.999	0.001	1.10E-16
NC294	0.998	0.001	0.001
NC296	0.002	0.001	0.997
NC296A	0.002	0.001	0.997
NC298	0.001	0.001	0.998
NC300	0.002	0.003	0.995
NC302	0.002	0.003	0.995
NC304	0.001	0.002	0.997
NC306	0.998	0.001	0.001
NC308	0.998	0.001	0.001
NC310	0.999	0.001	1.10E-16
NC312	0.998	0.001	0.001
NC314	0.998	0.001	0.001
NC318	0.002	0.032	0.966
NC320	0.004	0.005	0.991
NC322	0.996	0.001	0.003
NC324	0.999	0.001	1.10E-16
NC326	0.998	0.001	0.001
NC328	0.998	0.001	0.001
NC33	0.129	0.862	0.009
NC330	0.999	0.001	1.10E-16
NC332	0.013	0.017	0.97
NC334	0.002	0.022	0.976
NC336	0.002	0.001	0.997
NC338	0.002	0.003	0.995
NC340	0.009	0.004	0.987
NC342	0.005	0.994	0.001
NC344	0.002	0.997	0.001
NC346	0.002	0.001	0.997
NC348	0.001	0.001	0.998
NC350	0.003	0.002	0.995
NC352	0.003	0.001	0.996
NC354	0.01	0.001	0.989
NC356	0.001	0.031	0.968
NC358	0.001	0.143	0.856
NC360	0.001	0.475	0.524
NC362	0.002	0.54	0.458
NC364	0.002	0.507	0.491
NC366	0.018	0.467	0.515
NC368	0.996	0.003	0.001
NC370	0.003	0.003	0.994
NC372	0.998	0.001	0.001
ND246	0.004	0.76	0.236
OH40B	0.002	0.996	0.002
OH43	0.001	0.998	0.001
OH43E	0.002	0.997	0.001
OH603	0.002	0.669	0.329
OH7B	0.031	0.967	0.002
OS420	0.016	0.983	0.001
PA762	0.001	0.998	0.001
PA875	0.002	0.979	0.019
PA880	0.002	0.993	0.005
PA91	0.001	0.997	0.002
Q6199	0.003	0.007	0.99
R109B	0.113	0.855	0.032
R168	0.002	0.996	0.002
R177	0.122	0.875	0.003
R229	0.991	0.002	0.007
R4	0.019	0.979	0.002
SC213R	0.002	0.579	0.419
SC357	0.003	0.622	0.375
SC55	0.046	0.626	0.328
SD40	0.417	0.581	0.002
SD44	0.006	0.993	0.001
T232	0.14	0.459	0.401
T234	0.003	0.985	0.012
T8	0.003	0.989	0.008
TX303	0.065	0.36	0.575
TX601	0.003	0.004	0.993
TZI10	0.003	0.005	0.992
TZI11	0.002	0.184	0.814
TZI16	0.248	0.351	0.401
TZI18	0.002	0.003	0.995
TZI25	0.305	0.086	0.609
TZI8	0.041	0.005	0.954
TZI9	0.008	0.011	0.981
U267Y	0.002	0.595	0.403
VA102	0.001	0.994	0.005
VA14	0.002	0.995	0.003
VA17	0.002	0.997	0.001
VA22	0.001	0.995	0.004
VA26	0.005	0.983	0.012
VA35	0.002	0.996	0.002
VA59	0.003	0.994	0.003
VA85	0.014	0.983	0.003
VA99	0.158	0.84	0.002
VAW6	0.02	0.724	0.256
W117HT	0.159	0.617	0.224
W153R	0.145	0.853	0.002
W182B	0.153	0.845	0.002
W22	0.063	0.931	0.006
W401	0.005	0.993	0.002
W64A	0.001	0.998	0.001
WD	0.014	0.97	0.016
WF9	0.005	0.994	0.001
YU796NS	0.189	0.785	0.026
