<Phenotype>
taxa	data	data	data	covariate	covariate	covariate
N28HT	57.0	66.5	41.431	0.551	0.447	0.002
N6	45.0	61.0	39.82533	0.017	0.98	0.003
N7A	54.5	63.5	41.767	0.494	0.503	0.003
NC222	84.5	70.5	37.047	0.004	0.874	0.122
NC230	57.0	70.0	43.833	0.004	0.994	0.002
NC232	55.0	68.5	44.877	0.068	0.839	0.093
NC236	58.0	72.5	36.2865	0.023	0.974	0.003
NC238	43.0	78.0	38.29429	0.004	0.989	0.007
NC250	37.0	64.0	36.44	0.941	0.057	0.002
NC258	60.5	70.0	36.866	0.001	0.997	0.002
NC260	52.5	63.0	35.866	0.005	0.992	0.003
NC262	25.0	59.0	37.31	0.007	0.991	0.002
NC264	48.0	65.0	38.303	0.015	0.018	0.967
NC268	74.38	69.5	32.867	0.998	0.001	0.001
NC290A	34.0	61.5	40.5525	0.015	0.984	0.001
NC292	55.5	65.5	42.8125	0.999	0.001	1.1E-16
NC294	74.0	66.5	38.888	0.998	0.001	0.001
NC296	68.5	67.0	38.83125	0.002	0.001	0.997
NC296A	59.5	68.5	38.211	0.002	0.001	0.997
NC298	62.0	72.5	29.191	0.001	0.001	0.998
NC300	68.0	70.0	42.694	0.002	0.003	0.995
NC302	53.0	67.5	36.349	0.002	0.003	0.995
NC304	8.0	65.0	NaN	0.001	0.002	0.997
NC306	62.88	68.0	34.54667	0.998	0.001	0.001
NC308	59.63	66.0	39.408	0.998	0.001	0.001
NC310	60.5	65.0	41.4595	0.999	0.001	1.1E-16
NC312	67.5	69.5	38.0875	0.998	0.001	0.001
NC314	58.0	66.0	36.278	0.998	0.001	0.001
NC318	72.0	72.0	31.811	0.002	0.032	0.966
NC320	83.0	71.5	41.711	0.004	0.005	0.991
NC322	77.5	71.5	33.15975	0.996	0.001	0.003
NC324	56.5	68.0	33.9025	0.999	0.001	1.1E-16
NC326	88.0	67.0	41.2355	0.998	0.001	0.001
NC328	60.0	66.0	37.45	0.998	0.001	0.001
NC33	101.0	72.0	36.104	0.129	0.862	0.009
NC330	70.0	70.0	42.79525	0.999	0.001	1.1E-16
NC332	76.5	71.0	34.923	0.013	0.017	0.97
NC334	80.5	70.5	33.938	0.002	0.022	0.976
NC336	50.5	75.5	34.172	0.002	0.001	0.997
NC338	71.5	70.0	33.97	0.002	0.003	0.995
NC340	60.5	65.5	38.974	0.009	0.004	0.987
NC342	68.0	64.5	35.18633	0.005	0.994	0.001
NC344	63.5	70.5	38.60725	0.002	0.997	0.001
NC346	62.0	68.0	36.276	0.002	0.001	0.997
NC348	73.0	67.0	31.202	0.001	0.001	0.998
NC350	49.5	69.5	32.829	0.003	0.002	0.995
NC352	53.5	72.0	35.537	0.003	0.001	0.996
NC354	67.0	71.5	32.8105	0.01	0.001	0.989
NC356	56.0	66.5	34.34075	0.001	0.031	0.968
NC358	41.0	63.0	35.785	0.001	0.143	0.856
NC360	56.0	71.5	37.205	0.001	0.475	0.524
NC362	51.5	63.0	38.849	0.002	0.54	0.458
NC364	48.5	64.5	38.6825	0.002	0.507	0.491
NC366	58.0	72.5	35.826	0.018	0.467	0.515
NC368	64.5	69.0	42.06567	0.996	0.003	0.001
NC370	70.63	72.5	42.082	0.003	0.003	0.994
NC372	69.0	68.0	42.281	0.998	0.001	0.001
ND246	32.5	54.5	28.935	0.004	0.76	0.236
OH40B	51.5	67.5	34.962	0.002	0.996	0.002
OH43	45.0	61.0	37.77	0.001	0.998	0.001
OH43E	31.5	61.0	37.124	0.002	0.997	0.001
OH603	48.5	65.5	NaN	0.002	0.669	0.329
OH7B	87.0	72.5	37.535	0.031	0.967	0.002
OS420	66.0	60.5	39.417	0.016	0.983	0.001
PA762	50.5	67.0	37.828	0.001	0.998	0.001
PA875	67.0	65.5	40.87967	0.002	0.979	0.019
PA880	69.5	64.5	NaN	0.002	0.993	0.005
PA91	63.0	68.5	36.12175	0.001	0.997	0.002
Q6199	NaN	85.0	NaN	0.003	0.007	0.99
R109B	45.0	65.0	NaN	0.113	0.855	0.032
R168	57.92	64.5	28.88775	0.002	0.996	0.002
R177	31.0	61.0	38.019	0.122	0.875	0.003
R229	76.0	67.0	43.504	0.991	0.002	0.007
R4	48.0	67.0	37.284	0.019	0.979	0.002
SC213R	67.0	76.0	34.337	0.002	0.579	0.419
SC357	55.5	74.5	34.858	0.003	0.622	0.375
SC55	128.0	75.0	41.88	0.046	0.626	0.328
SD40	46.5	60.0	38.5555	0.417	0.581	0.002
SD44	39.0	61.5	36.73775	0.006	0.993	0.001
T232	73.5	70.0	35.651	0.14	0.459	0.401
T234	63.08	68.5	39.432	0.003	0.985	0.012
T8	87.75	70.5	35.29	0.003	0.989	0.008
TX303	102.0	71.0	41.5	0.065	0.36	0.575
TX601	87.63	78.5	42.91188	0.003	0.004	0.993
TZI10	81.0	78.0	33.84983	0.003	0.005	0.992
TZI11	75.5	71.5	32.988	0.002	0.184	0.814
TZI16	76.75	74.0	41.737	0.248	0.351	0.401
TZI18	79.38	70.0	39.82575	0.002	0.003	0.995
TZI25	82.0	72.5	38.817	0.305	0.086	0.609
TZI8	89.5	72.5	41.56075	0.041	0.005	0.954
TZI9	79.0	72.0	40.403	0.008	0.011	0.981
U267Y	53.5	75.5	35.491	0.002	0.595	0.403
VA102	47.5	65.0	NaN	0.001	0.994	0.005
VA14	56.0	66.5	36.955	0.002	0.995	0.003
VA17	49.0	63.5	34.376	0.002	0.997	0.001
VA22	62.5	66.0	36.168	0.001	0.995	0.004
VA26	41.0	61.0	37.617	0.005	0.983	0.012
VA35	52.0	63.0	40.0005	0.002	0.996	0.002
VA59	36.5	60.5	37.58	0.003	0.994	0.003
VA85	66.0	62.5	37.304	0.014	0.983	0.003
VA99	56.0	67.5	40.421	0.158	0.84	0.002
VAW6	38.0	62.5	35.685	0.02	0.724	0.256
W117HT	31.0	66.0	23.72333	0.159	0.617	0.224
W153R	27.5	66.0	NaN	0.145	0.853	0.002
W182B	46.0	62.5	31.492	0.153	0.845	0.002
W22	44.0	63.5	36.041	0.063	0.931	0.006
W401	35.5	58.5	35.40125	0.005	0.993	0.002
W64A	59.5	62.5	35.982	0.001	0.998	0.001
WD	48.5	62.5	30.479	0.014	0.97	0.016
WF9	52.0	64.5	36.61475	0.005	0.994	0.001
YU796NS	56.5	64.0	40.755	0.189	0.785	0.026
